game_date,game_pk,pitcher,player_name,team,opponent,home_team,away_team,is_home,p_throws
2026-04-17,900001,1,Kodai Senga,NYM,CHC,CHC,NYM,0,R 
2026-04-17,900001,2,Edward Cabrera,CHC,NYM,CHC,NYM,1,R 
2026-04-17,900002,3,Chris Bassitt,BAL,CLE,CLE,BAL,0,R 
2026-04-17,900002,4,Tanner Bibee,CLE,BAL,CLE,BAL,1,R 
2026-04-17,900003,5,Martin Perez,ATL,PHI,PHI,ATL,0,L 
2026-04-17,900003,6,Taijuan Walker,PHI,ATL,PHI,ATL,1,R 
2026-04-17,900004,7,Logan Webb,SF,WSH,WSH,SF,0,R 
2026-04-17,900004,8,Zack Littell,WSH,SF,WSH,SF,1,R 
2026-04-17,900005,9,Michael Wacha,KC,NYY,NYY,KC,0,R 
2026-04-17,900005,10,Schlittler,NYY,KC,NYY,KC,1,R 
2026-04-17,900006,11,Kyle Harrison,MIL,MIA,MIA,MIL,0,L 
2026-04-17,900006,12,Janson Junk,MIA,MIL,MIA,MIL,1,R 
2026-04-17,900007,13,Casey Mize,DET,BOS,BOS,DET,0,R 
2026-04-17,900007,14,Ranger Suarez,BOS,DET,BOS,DET,1,L 
2026-04-17,900008,15,Brandon Williamson,CIN,MIN,MIN,CIN,0,L 
2026-04-17,900008,16,Joe Ryan,MIN,CIN,MIN,CIN,1,R 
2026-04-17,900009,17,Kyle Leahy,STL,HOU,HOU,STL,0,R 
2026-04-17,900009,18,Peter Lambert,HOU,STL,HOU,STL,1,R
2026-04-17,900010,19,Tyler Glasnow,LAD,COL,COL,LAD,0,R 
2026-04-17,900010,20,Ryan Feltner,COL,LAD,COL,LAD,1,R 
2026-04-17,900011,21,Matt Waldron,SD,LAA,LAA,SD,0,R 
2026-04-17,900011,22,Jose Soriano,LAA,SD,LAA,SD,1,R 
2026-04-17,900012,23,Davis Martin,CWS,ATH,ATH,CWS,0,R 
2026-04-17,900012,24,Aaron Civale,ATH,CWS,ATH,CWS,1,R 
2026-04-17,900013,25,Jacob deGrom,TEX,SEA,SEA,TEX,0,R 
2026-04-17,900013,26,Logan Gilbert,SEA,TEX,SEA,TEX,1,R 
2026-04-17,900014,27,Eric Lauer,TOR,ARI,ARI,TOR,0,L 
2026-04-17,900014,28,Michael Soroka,ARI,TOR,ARI,TOR,1,R
