pick_key,game_date,player_name,prop_type,participant_join_key,participant_id,participant_source_id,participant_source_id_type,participant_name_norm,sport,market_key,market_family,team,opponent,book,bookmaker_key,event_id,odds,price,pick_side,line,market_selection_key,market_offer_key,predicted_value,predicted_strikeouts,edge,confidence_tier,pick_type,result,actual_value,actual_strikeouts,record_source,model_version,policy_version,tracking_regime
legacy-0001,,Tyler Bibee,,,,,,,,,,,,DraftKings,,,108,108,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0002,,Kyle Leahy,,,,,,,,,,,,DraftKings,,,120,120,under,3.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0003,,Grant Holmes,,,,,,,,,,,,DraftKings,,,-163,-163,over,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0004,,Reid Detmers,,,,,,,,,,,,BetMGM,,,100,100,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0005,,Emerson Hancock,,,,,,,,,,,,DraftKings,,,-135,-135,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0006,,Justin Wrobleski,,,,,,,,,,,,DraftKings,,,-137,-137,under,4.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0007,,Steven Matz,,,,,,,,,,,,BetMGM,,,-155,-155,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0008,,Yoshinobu Yamamoto,,,,,,,,,,,,DraftKings,,,-104,-104,over,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0009,,Chris Paddack,,,,,,,,,,,,BetMGM,,,-135,-135,under,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0010,,Eric Lauer,,,,,,,,,,,,DraftKings,,,100,100,under,4.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0011,,Anthony Kay,,,,,,,,,,,,DraftKings,,,-142,-142,under,3.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0012,,Nick Martinez,,,,,,,,,,,,BetMGM,,,-140,-140,under,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0013,,Michael Soroka,,,,,,,,,,,,DraftKings,,,103,103,under,5.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0014,,Payton Tolle,,,,,,,,,,,,FanDuel,,,-110,-110,under,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0015,,Lance McCullers Jr,,,,,,,,,,,,BetMGM,,,-120,-120,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0016,,Freddy Peralta,,,,,,,,,,,,BetMGM,,,-150,-150,under,7.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0017,,Sandy Alcantara,,,,,,,,,,,,FanDuel,,,136,136,over,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0018,,Bryan Woo,,,,,,,,,,,,BetMGM,,,-185,-185,over,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0019,,Jacob Misiorowski,,,,,,,,,,,,BetMGM,,,-115,-115,under,7.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0020,,Zac Gallen,,,,,,,,,,,,DraftKings,,,119,119,over,3.5,,,,,,,official,Push,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0021,,Reid Detmers,,,,,,,,,,,,BetMGM,,,-120,-120,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0022,,Carmen Mlodzinski,,,,,,,,,,,,BetMGM,,,100,100,under,4.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0023,,Emerson Hancock,,,,,,,,,,,,FanDuel,,,-154,-154,under,4.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0024,,Luis Castillo,,,,,,,,,,,,BetMGM,,,-150,-150,over,4.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0025,,Max Fried,,,,,,,,,,,,FanDuel,,,-125,-125,over,5.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0026,,Matthew Boyd,,,,,,,,,,,,DraftKings,,,-152,-152,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0027,,Shohei Ohtani,,,,,,,,,,,,BetMGM,,,-105,-105,under,6.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0028,,Chad Patrick,,,,,,,,,,,,BetMGM,,,-150,-150,over,3.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0029,,Martín Pérez,,,,,,,,,,,,BetMGM,,,-120,-120,over,3.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0030,,George Kirby,,,,,,,,,,,,FanDuel,,,126,126,over,5.5,,,,,,,official,L,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
legacy-0031,,Yusei Kikuchi,,,,,,,,,,,,BetMGM,,,115,115,under,5.5,,,,,,,official,W,,,manual_seed,manual_unversioned,manual_unversioned,manual_backfill
2026-04-30|peter lambert,2026-04-30,Peter Lambert,,,,,,,,,,HOU,BAL,BetMGM,,,-160,-160,under,5.5,,,3.1216189861297607,3.1216189861297607,2.3783810138702393,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-04-30|kevin gausman,2026-04-30,Kevin Gausman,,,,,,,,,,TOR,MIN,BetMGM,,,-110,-110,over,5.5,,,6.670597553253174,6.670597553253174,1.1705975532531738,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-04-30|bryce elder,2026-04-30,Bryce Elder,,,,,,,,,,ATL,DET,DraftKings,,,-128,-128,over,4.5,,,5.65626859664917,5.65626859664917,1.15626859664917,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-01|jt ginn,2026-05-01,JT Ginn,,,,,,,,,,ATH,CLE,BetMGM,,,-105,-105,over,3.5,,,5.311550617218018,5.311550617218018,1.8115506172180176,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-01|zac gallen,2026-05-01,Zac Gallen,,,,,,,,,,AZ,CHC,FanDuel,,,116,116,over,4.5,,,5.818013668060303,5.818013668060303,1.3180136680603027,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-01|simeon woods richardson,2026-05-01,Simeon Woods Richardson,,,,,,,,,,MIN,TOR,DraftKings,,,-103,-103,over,3.5,,,4.812343120574951,4.812343120574951,1.3123431205749512,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-02|reid detmers,2026-05-02,Reid Detmers,,,,,,,,,,LAA,NYM,BetMGM,,,-125,-125,under,6.5,,,4.437117099761963,4.437117099761963,2.062882900238037,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-02|sean burke,2026-05-02,Sean Burke,,,,,,,,,,CWS,SD,FanDuel,,,-130,-130,over,3.5,,,5.375972270965576,5.375972270965576,1.8759722709655762,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-02|chris sale,2026-05-02,Chris Sale,,,,,,,,,,ATL,COL,FanDuel,,,-144,-144,under,7.5,,,5.521391868591309,5.521391868591309,1.9786081314086914,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-03|jack leiter,2026-05-03,Jack Leiter,,,,,,,,,,TEX,DET,FanDuel,,,-172,-172,over,4.5,,,5.989242076873779,5.989242076873779,1.4892420768737793,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-03|kyle freeland,2026-05-03,Kyle Freeland,,,,,,,,,,COL,ATL,FanDuel,,,-125,-125,over,3.5,,,4.571568489074707,4.571568489074707,1.071568489074707,medium,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-03|merrill kelly,2026-05-03,Merrill Kelly,,,,,,,,,,AZ,CHC,FanDuel,,,-144,-144,over,3.5,,,4.505809783935547,4.505809783935547,1.0058097839355469,medium,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-04|chad patrick,2026-05-04,Chad Patrick,,,,,,,,,,MIL,STL,DraftKings,,,-137,-137,over,3.5,,,5.568472385406494,5.568472385406494,2.068472385406494,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-04|logan gilbert,2026-05-04,Logan Gilbert,,,,,,,,,,SEA,ATL,DraftKings,,,-141,-141,under,6.5,,,5.317350387573242,5.317350387573242,1.1826496124267578,medium,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-04|yoshinobu yamamoto,2026-05-04,Yoshinobu Yamamoto,,,,,,,,,,LAD,HOU,FanDuel,,,-158,-158,over,5.5,,,6.6789350509643555,6.6789350509643555,1.1789350509643555,medium,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-05|peter lambert,2026-05-05,Peter Lambert,,,,,,,,,,HOU,LAD,BetMGM,,,115,115,under,4.5,,,2.7774240970611572,2.7774240970611572,1.7225759029388428,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-05|stephen kolek,2026-05-05,Stephen Kolek,,,,,,,,,,KC,CLE,DraftKings,,,-157,-157,over,2.5,,,4.562065601348877,4.562065601348877,2.062065601348877,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-05|shohei ohtani,2026-05-05,Shohei Ohtani,,,,,,,,,,LAD,HOU,DraftKings,,,-152,-152,under,7.5,,,5.5092058181762695,5.5092058181762695,1.9907941818237305,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-06|sonny gray,2026-05-06,Sonny Gray,,,,,,,,,,BOS,DET,DraftKings,,,108,108,over,4.5,,,6.3377814292907715,6.3377814292907715,1.8377814292907715,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-06|bryan woo,2026-05-06,Bryan Woo,,,,,,,,,,SEA,ATL,BetMGM,,,-160,-160,over,4.5,,,6.964148044586182,6.964148044586182,2.4641480445861816,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-06|adrian houser,2026-05-06,Adrian Houser,,,,,,,,,,SF,SD,FanDuel,,,120,120,over,3.5,,,4.868718147277832,4.868718147277832,1.368718147277832,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow
2026-05-07|simeon woods richardson,2026-05-07,Simeon Woods Richardson,,,,,,,,,,MIN,WSH,FanDuel,,,-118,-118,over,3.5,,,5.686676502227783,5.686676502227783,2.186676502227783,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow
2026-05-07|zac gallen,2026-05-07,Zac Gallen,,,,,,,,,,AZ,PIT,DraftKings,,,-119,-119,over,4.5,,,6.00658655166626,6.00658655166626,1.5065865516662598,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow
2026-05-07|jt ginn,2026-05-07,JT Ginn,,,,,,,,,,ATH,PHI,FanDuel,,,110,110,over,4.5,,,5.752137184143066,5.752137184143066,1.2521371841430664,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow
