summary_scope,segment_type,segment_value,book,picks,wins,losses,pushes,decisions,units_risked,units_profit,win_rate,roi
all_time,summary_scope,all_time,DraftKings,120,66,53,1,119,119.0,7.970133565993523,0.5546218487394958,0.0669759123192733
all_time,summary_scope,all_time,BetMGM,90,45,45,0,90,90.0,-10.696078046138947,0.5,-0.11884531162376608
all_time,summary_scope,all_time,FanDuel,106,51,55,0,106,106.0,-13.226909061592572,0.4811320754716981,-0.12478216095842048
current_regime,summary_scope,current_regime,DraftKings,102,55,47,0,102,102.0,5.238467726845734,0.5392156862745098,0.0513575267337817
current_regime,summary_scope,current_regime,FanDuel,93,45,48,0,93,93.0,-10.354241665860714,0.4838709677419355,-0.11133593189097542
current_regime,summary_scope,current_regime,BetMGM,69,33,36,0,69,69.0,-12.010286955509143,0.4782608695652174,-0.17406212978998759
all_time,record_source,manual_seed,DraftKings,11,7,3,1,10,10.0,2.8743262985332536,0.7,0.28743262985332535
all_time,record_source,manual_seed,BetMGM,15,8,7,0,15,15.0,-0.03817204301075261,0.5333333333333333,-0.002544802867383507
all_time,record_source,manual_seed,FanDuel,5,1,4,0,5,5.0,-3.3506493506493507,0.2,-0.6701298701298701
all_time,record_source,run_daily_card,DraftKings,109,59,50,0,109,109.0,5.095807267460268,0.5412844036697247,0.046750525389543746
all_time,record_source,run_daily_card,FanDuel,101,50,51,0,101,101.0,-9.876259710943229,0.49504950495049505,-0.09778474961329929
all_time,record_source,run_daily_card,BetMGM,75,37,38,0,75,75.0,-10.657906003128193,0.49333333333333335,-0.14210541337504257
all_time,model_version,manual_unversioned,DraftKings,11,7,3,1,10,10.0,2.8743262985332536,0.7,0.28743262985332535
all_time,model_version,manual_unversioned,BetMGM,15,8,7,0,15,15.0,-0.03817204301075261,0.5333333333333333,-0.002544802867383507
all_time,model_version,manual_unversioned,FanDuel,5,1,4,0,5,5.0,-3.3506493506493507,0.2,-0.6701298701298701
all_time,model_version,pitcher_bb_model_v1,DraftKings,25,14,11,0,25,25.0,5.36989497217445,0.56,0.214795798886978
all_time,model_version,pitcher_k_model_v1,DraftKings,66,35,31,0,66,66.0,-0.06274940402433393,0.5303030303030303,-0.0009507485458232414
all_time,model_version,pitcher_k_model_v1,FanDuel,83,40,43,0,83,83.0,-9.285755186261543,0.4819277108433735,-0.11187656850917521
all_time,model_version,pitcher_k_model_v1,BetMGM,63,30,33,0,63,63.0,-12.0822331252814,0.47619047619047616,-0.19178147817906985
all_time,model_version,workflow_unversioned,BetMGM,12,7,5,0,12,12.0,1.4243271221532088,0.5833333333333334,0.11869392684610074
all_time,model_version,workflow_unversioned,DraftKings,18,10,8,0,18,18.0,-0.21133830068984638,0.5555555555555556,-0.011741016704991466
all_time,model_version,workflow_unversioned,FanDuel,18,10,8,0,18,18.0,-0.5905045246816848,0.5555555555555556,-0.032805806926760266
all_time,policy_version,manual_unversioned,DraftKings,11,7,3,1,10,10.0,2.8743262985332536,0.7,0.28743262985332535
all_time,policy_version,manual_unversioned,BetMGM,15,8,7,0,15,15.0,-0.03817204301075261,0.5333333333333333,-0.002544802867383507
all_time,policy_version,manual_unversioned,FanDuel,5,1,4,0,5,5.0,-3.3506493506493507,0.2,-0.6701298701298701
all_time,policy_version,mlb_pitcher_props_policy_v1,DraftKings,71,37,34,0,71,71.0,-1.9720015470926193,0.5211267605633803,-0.027774669677360836
all_time,policy_version,mlb_pitcher_props_policy_v1,FanDuel,83,40,43,0,83,83.0,-9.285755186261543,0.4819277108433735,-0.11187656850917521
all_time,policy_version,mlb_pitcher_props_policy_v1,BetMGM,63,30,33,0,63,63.0,-12.0822331252814,0.47619047619047616,-0.19178147817906985
all_time,policy_version,mlb_pitcher_walks_ev_policy_v1,DraftKings,20,12,8,0,20,20.0,7.279147115242733,0.6,0.3639573557621366
all_time,policy_version,workflow_unversioned,BetMGM,12,7,5,0,12,12.0,1.4243271221532088,0.5833333333333334,0.11869392684610074
all_time,policy_version,workflow_unversioned,DraftKings,18,10,8,0,18,18.0,-0.21133830068984638,0.5555555555555556,-0.011741016704991466
all_time,policy_version,workflow_unversioned,FanDuel,18,10,8,0,18,18.0,-0.5905045246816848,0.5555555555555556,-0.032805806926760266
all_time,tracking_regime,current_workflow,DraftKings,102,55,47,0,102,102.0,5.238467726845734,0.5392156862745098,0.0513575267337817
all_time,tracking_regime,current_workflow,FanDuel,93,45,48,0,93,93.0,-10.354241665860714,0.4838709677419355,-0.11133593189097542
all_time,tracking_regime,current_workflow,BetMGM,69,33,36,0,69,69.0,-12.010286955509143,0.4782608695652174,-0.17406212978998759
all_time,tracking_regime,legacy_workflow,BetMGM,6,4,2,0,6,6.0,1.3523809523809522,0.6666666666666666,0.22539682539682537
all_time,tracking_regime,legacy_workflow,FanDuel,8,5,3,0,8,8.0,0.4779819549174862,0.625,0.05974774436468577
all_time,tracking_regime,legacy_workflow,DraftKings,7,4,3,0,7,7.0,-0.1426604593854659,0.5714285714285714,-0.02038006562649513
all_time,tracking_regime,manual_backfill,DraftKings,11,7,3,1,10,10.0,2.8743262985332536,0.7,0.28743262985332535
all_time,tracking_regime,manual_backfill,BetMGM,15,8,7,0,15,15.0,-0.03817204301075261,0.5333333333333333,-0.002544802867383507
all_time,tracking_regime,manual_backfill,FanDuel,5,1,4,0,5,5.0,-3.3506493506493507,0.2,-0.6701298701298701
